,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
68,1633611134244,-0.22875977,-0.69659424,0.77215576,-0.078125,0.4375,0.265625,Respeck,Sitting bent backward,5,s1714206,
69,1633611134312,-0.22875977,-0.7197876,0.78533936,-0.21875,0.90625,0.140625,Respeck,Sitting bent backward,5,s1714206,
70,1633611134326,-0.23266602,-0.7136841,0.7704468,-0.703125,0.71875,0.4375,Respeck,Sitting bent backward,5,s1714206,
71,1633611134357,-0.22973633,-0.71051025,0.77093506,0.21875,0.125,0.53125,Respeck,Sitting bent backward,5,s1714206,
72,1633611134434,-0.22607422,-0.71588135,0.7687378,1.625,-1.5625,0.34375,Respeck,Sitting bent backward,5,s1714206,
73,1633611134442,-0.22924805,-0.7156372,0.7592163,2.0,-1.828125,0.78125,Respeck,Sitting bent backward,5,s1714206,
74,1633611134510,-0.23583984,-0.7180786,0.7597046,2.3125,-2.546875,0.875,Respeck,Sitting bent backward,5,s1714206,
75,1633611134522,-0.23706055,-0.7324829,0.7614136,2.109375,-2.109375,0.84375,Respeck,Sitting bent backward,5,s1714206,
76,1633611134555,-0.23535156,-0.7288208,0.76678467,3.328125,-1.890625,0.59375,Respeck,Sitting bent backward,5,s1714206,
77,1633611134627,-0.24267578,-0.7324829,0.75531006,1.46875,-2.046875,0.609375,Respeck,Sitting bent backward,5,s1714206,
78,1633611134630,-0.23583984,-0.73150635,0.7838745,1.875,0.5625,0.09375,Respeck,Sitting bent backward,5,s1714206,
79,1633611134704,-0.24560547,-0.73809814,0.7313843,-0.234375,0.71875,0.6875,Respeck,Sitting bent backward,5,s1714206,
80,1633611134719,-0.24047852,-0.72979736,0.7609253,0.265625,0.421875,0.125,Respeck,Sitting bent backward,5,s1714206,
81,1633611134748,-0.23535156,-0.72857666,0.7692261,0.671875,0.03125,0.3125,Respeck,Sitting bent backward,5,s1714206,
82,1633611134822,-0.24243164,-0.72735596,0.7572632,0.578125,1.15625,0.71875,Respeck,Sitting bent backward,5,s1714206,
83,1633611134825,-0.23803711,-0.72613525,0.7514038,1.046875,0.6875,0.8125,Respeck,Sitting bent backward,5,s1714206,
84,1633611134897,-0.23339844,-0.7373657,0.7650757,0.5625,0.9375,0.75,Respeck,Sitting bent backward,5,s1714206,
85,1633611134911,-0.23583984,-0.73150635,0.7548218,-0.546875,0.84375,0.5625,Respeck,Sitting bent backward,5,s1714206,
86,1633611134943,-0.2368164,-0.7295532,0.75531006,-0.21875,0.9375,0.71875,Respeck,Sitting bent backward,5,s1714206,
87,1633611135019,-0.22998047,-0.7251587,0.7626343,1.1875,0.296875,0.734375,Respeck,Sitting bent backward,5,s1714206,
