,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
32,1633611288999,0.9086914,-0.39190674,-0.06036377,-0.734375,-0.140625,-1.375,Respeck,Lying down right,6,s1714206,
33,1633611289069,0.87768555,-0.39312744,-0.06085205,0.265625,0.21875,-0.015625,Respeck,Lying down right,6,s1714206,
34,1633611289083,0.8762207,-0.3965454,-0.07940674,5.015625,-5.375,0.09375,Respeck,Lying down right,6,s1714206,
35,1633611289113,0.8964844,-0.36993408,-0.047180176,1.890625,-2.734375,1.453125,Respeck,Lying down right,6,s1714206,
36,1633611289193,0.90478516,-0.36773682,-0.06402588,0.96875,2.21875,1.765625,Respeck,Lying down right,6,s1714206,
37,1633611289199,0.91259766,-0.34210205,-0.033996582,-4.015625,1.828125,0.96875,Respeck,Lying down right,6,s1714206,
38,1633611289263,0.89819336,-0.36627197,-0.058410645,-0.03125,0.171875,0.0625,Respeck,Lying down right,6,s1714206,
39,1633611289278,0.8852539,-0.35968018,-0.06427002,0.21875,0.421875,-0.078125,Respeck,Lying down right,6,s1714206,
40,1633611289306,0.8847656,-0.3711548,-0.06085205,0.859375,0.390625,-0.1875,Respeck,Lying down right,6,s1714206,
41,1633611289385,0.89819336,-0.3718872,-0.066467285,0.734375,1.328125,-0.015625,Respeck,Lying down right,6,s1714206,
42,1633611289392,0.8947754,-0.36993408,-0.051330566,2.296875,-0.140625,0.0,Respeck,Lying down right,6,s1714206,
43,1633611289458,0.9008789,-0.3633423,-0.058654785,8.890625,-1.28125,1.5625,Respeck,Lying down right,6,s1714206,
44,1633611289473,0.89941406,-0.38165283,-0.06304932,0.171875,-1.734375,0.578125,Respeck,Lying down right,6,s1714206,
45,1633611289503,0.9211426,-0.3587036,-0.055725098,-0.453125,-1.546875,0.9375,Respeck,Lying down right,6,s1714206,
46,1633611289579,0.8918457,-0.37506104,-0.050354004,-2.953125,-1.078125,0.140625,Respeck,Lying down right,6,s1714206,
47,1633611289584,0.90063477,-0.3670044,-0.0713501,-2.609375,-0.21875,-0.0625,Respeck,Lying down right,6,s1714206,
48,1633611289655,0.8942871,-0.37823486,-0.051086426,-0.6875,-0.265625,0.234375,Respeck,Lying down right,6,s1714206,
