,accel_x,accel_y,accel_z
211,1.4404297,0.45996094,-0.026367188
212,1.2851562,0.453125,-0.043945312
213,1.1542968999999998,0.55078125,-0.099609375
214,0.9345703000000002,0.60058594,-0.07910156
215,0.74609375,0.52734375,-0.052734375
216,0.6308594,0.48144529999999996,-0.06933594
217,0.76660156,0.37890625,-0.07714844
218,0.42382812,0.09472656,0.009765625
219,0.5439453000000001,0.1171875,-0.053710938
220,0.8564453000000002,0.16796875,-0.13476562
221,1.0791016000000002,0.0859375,-0.30566406
222,1.2792968999999998,0.123046875,-0.234375
223,1.4189453,0.13574219,-0.2763672
224,1.5761718999999998,0.28320312,-0.30273438
225,1.4921875,0.34960938,-0.3076172
226,1.4277343999999998,0.30078125,-0.26171875
227,1.4423828,0.34277344,-0.3564453
228,1.2021483999999998,-0.18945312,-0.34277344
229,0.96777344,-0.3251953,-0.48144529999999996
230,0.9941405999999999,-0.2109375,-0.5449219
231,1.0214844,-0.4921875,-0.5361328000000001
232,1.1552733999999998,-0.12207031,-0.22070312
233,1.2226562,-0.27441406,-0.099609375
234,1.1474608999999998,0.25878906,-0.09277344
235,1.0527343999999998,0.25,-0.08984375
236,0.83496094,0.46875,-0.13867188
237,0.9453125,0.23828125,-0.0048828125
238,1.3798828,0.23046875,-0.14746094
239,1.59375,0.19921875,0.038085938
240,1.9873047,0.22167969,0.056640625
241,2.0029296999999997,0.15136719,0.0625
242,2.0029296999999997,0.09277344,0.017578125
243,1.9072266,0.13378906,0.0068359375
244,1.5917968999999998,0.20410156,-0.0126953125
245,1.4609375,0.28808594,-0.048828125
246,1.3798828,0.29785156,-0.045898438
247,1.1943358999999998,0.09472656,-0.06542969
248,0.9404296999999998,0.078125,-0.07519531
249,0.76464844,0.055664062,-0.16113281
250,0.61816406,-0.055664062,-0.11230469
251,0.4453125,0.09472656,-0.20898438
252,0.45996094,0.05859375,-0.34570312
253,0.6591796999999999,0.09082031,-0.265625
254,1.0126953,0.24414062,-0.32714844
255,1.375,0.2529297,-0.31640625
256,1.6650391,0.28710938,-0.25683594
257,1.9033203,0.44921875,-0.24902344
258,2.0029296999999997,0.45898438,-0.2734375
259,1.6181641000000002,0.3017578,-0.24316406
260,1.4638672,0.095703125,-0.3564453
261,1.3564453,0.10839844,-0.35351562
262,1.1679688,-0.19921875,-0.3876953
263,1.1123047,0.061523438,-0.41210938
264,1.0800781000000002,0.48535156,-0.30859375
265,0.96972656,0.3515625,-0.18652344
266,0.91308594,0.5058594,-0.107421875
267,0.9003905999999999,0.14648438,-0.045898438
268,0.9404296999999998,0.27539062,-0.055664062
269,1.2392578,0.25683594,0.0009765625
270,1.6367188,0.1328125,0.020507812
271,1.7910156000000004,0.0087890625,0.125
272,1.7412109,0.05859375,0.030273438
273,1.6064453,0.29785156,0.08496094
274,1.6367188,0.5058594,0.11425781
275,1.4736328,0.47363279999999996,0.10058594
276,1.2226562,0.2529297,0.068359375
277,0.9638671999999998,0.4609375,-0.0078125
278,0.78125,0.56933594,-0.0703125
279,0.6923828000000001,0.67871094,-0.15234375
280,0.50390625,0.6611328000000001,-0.119140625
281,0.3623047,0.52441406,-0.15722656
282,0.171875,0.5175781,-0.14160156
283,0.46191406,0.52246094,-0.15625
284,0.53125,0.39941406,-0.24707031
285,0.8251953000000002,0.16113281,-0.32421875
286,0.90234375,0.041992188,-0.22753906
287,1.1972656000000002,0.16894531,-0.31152344
288,1.2841797,0.0029296875,-0.34375
289,1.7949218999999996,0.13476562,-0.24609375
290,1.9433593999999996,0.23730469,-0.21289062
291,1.8369141,0.15136719,-0.21191406
292,1.5175781000000002,0.36523438,-0.41210938
293,1.1757812,0.52246094,-0.56152344
294,0.9716796999999998,0.16015625,-0.33789062
295,0.8652344000000001,-0.25585938,-0.32128906
296,0.85253906,-0.35253906,-0.24902344
297,0.9892578000000002,-0.040039062,-0.3046875
298,1.0498047,-0.0703125,-0.31640625
299,0.98828125,0.03125,-0.15136719
300,1.0878906000000002,-0.034179688,0.0546875
301,1.1914062,-0.030273438,0.080078125
302,0.99609375,0.38476562,-0.072265625
303,1.1337891000000002,0.18457031,-0.0078125
304,1.4150391000000002,0.103515625,-0.053710938
305,1.6191406000000002,0.23242188,-0.036132812
306,1.8066406000000004,0.23535156,0.03125
307,1.9609375,0.19042969,0.068359375
308,1.8447266,0.13964844,0.12890625
309,1.5234375,0.10839844,0.013671875
310,1.3007812,0.2421875,-0.013671875
311,1.2314453,0.27148438,0.025390625
312,1.1181641000000002,0.24707031,-0.001953125
313,0.99902344,0.20800781,-0.005859375
314,0.8925780999999999,0.24121094,-0.07324219
315,0.7998046999999999,0.18945312,-0.13867188
316,0.7792969,0.109375,-0.140625
317,0.60546875,0.20507812,-0.11425781
318,0.5810546999999999,0.20703125,-0.31054688
319,0.7373046999999999,0.22167969,-0.3466797
320,0.9921875,0.2265625,-0.29101562
321,1.3076172,0.27734375,-0.33789062
322,1.4433593999999998,0.28125,-0.32714844
323,1.5820312,0.44433594,-0.36132812
324,1.5878906000000002,0.30273438,-0.42578125
325,1.4082031000000002,0.16503906,-0.328125
326,1.3681641000000002,0.27441406,-0.3173828
327,1.2744141000000002,0.19921875,-0.31445312
328,1.1113281000000002,0.22558594,-0.31347656
329,1.03125,0.3408203,-0.3076172
330,1.0478516,0.421875,-0.27246094
331,1.1669922,0.43359375,-0.30566406
332,1.2050781000000002,0.4091797,-0.27148438
333,0.81640625,0.29589844,-0.23144531
334,1.1181641000000002,0.2861328,-0.18457031
335,1.3759766000000002,0.21289062,-0.11230469
336,1.6005858999999998,0.12695312,-0.10546875
337,1.4550781000000002,0.04296875,-0.029296875
338,1.3105468999999998,0.15820312,-0.072265625
339,1.1035156000000002,0.23339844,-0.055664062
340,0.9863280999999999,0.2841797,-0.06640625
341,0.94921875,0.26660156,-0.057617188
342,0.9394530999999999,0.36328125,-0.038085938
343,0.9091796999999998,0.32714844,-0.09765625
344,0.8574219000000001,0.31640625,-0.15039062
345,0.93847656,0.29785156,-0.14160156
346,0.99609375,0.23828125,-0.14453125
347,0.86621094,0.24316406,-0.22167969
348,0.8310546999999998,0.13964844,-0.2998047
349,0.8623046999999998,0.09667969,-0.2265625
350,1.203125,0.107421875,-0.29003906
351,1.5029297,0.22851562,-0.2841797
352,1.4824218999999998,0.3330078,-0.35546875
353,1.4238281000000002,0.29296875,-0.30859375
354,1.2285156000000002,0.29003906,-0.234375
355,1.1083983999999998,0.24414062,-0.22753906
356,1.0712891000000002,0.0703125,-0.21386719
357,1.0742188,0.25390625,-0.20117188
358,0.9951171999999998,0.34570312,-0.17675781
359,0.9248046999999998,0.36328125,-0.15136719
360,0.9140625,0.43066406,-0.17773438
361,1.0556641000000002,0.42480470000000004,-0.28125
362,1.1054688,0.32128906,-0.23632812
363,0.89746094,0.3359375,-0.11621094
364,1.203125,0.31054688,-0.044921875
365,1.3847656000000002,0.17089844,-0.08203125
366,1.5136718999999998,-0.076171875,-0.076171875
367,1.4814453,0.14453125,-0.15917969
368,1.3994141000000002,0.15429688,-0.12988281
369,1.1611328,0.24707031,-0.15234375
370,1.0166016,0.25195312,-0.091796875
371,0.9423828000000002,0.265625,-0.091796875
372,0.84277344,0.30078125,-0.09765625
373,0.83984375,0.3046875,-0.17578125
374,0.88183594,0.25976562,-0.14355469
375,0.8691405999999999,0.30078125,-0.1328125
376,1.0273438,0.21289062,-0.119140625
377,1.0830078,0.17480469,-0.13085938
378,0.8642578000000002,0.14160156,-0.19921875
379,1.0009766,0.15039062,-0.2265625
380,1.1689453,0.19921875,-0.2265625
381,1.4394531000000002,0.171875,-0.19824219
382,1.4277343999999998,0.20214844,-0.25683594
383,1.375,0.2685547,-0.39160156
384,1.1992188,0.22558594,-0.34960938
385,1.0195312,0.27929688,-0.25097656
386,1.0732422,0.16503906,-0.2578125
387,1.1679688,0.16894531,-0.28808594
388,1.0810547,0.27148438,-0.2578125
389,0.9267578000000002,0.31835938,-0.19433594
390,0.93652344,0.40625,-0.20800781
391,0.97265625,0.42578125,-0.203125
392,1.0292969,0.41015625,-0.25683594
393,0.90234375,0.2783203,-0.12988281
394,1.1416016000000002,0.27929688,-0.053710938
395,1.3720703,0.27929688,-0.009765625
396,1.5341797,0.10644531,0.00390625
397,1.4375,0.15234375,-0.046875
398,1.3662108999999998,0.20507812,-0.0703125
399,1.3095703,0.41308594,-0.08984375
400,1.1787108999999998,0.38378906,-0.052734375
401,1.0078125,0.37890625,0.022460938
402,0.87109375,0.36816406,-0.0234375
403,0.71875,0.32617188,-0.0859375
404,0.6591796999999999,0.3408203,-0.09472656
405,0.66796875,0.45410156,-0.12402344
406,0.83203125,0.41699220000000004,-0.16113281
407,0.8769530999999999,0.31054688,-0.12890625
408,0.88964844,0.30859375,-0.18554688
409,0.7949219,0.25,-0.37109375
410,0.91503906,0.20019531,-0.37304688
411,1.3007812,0.20214844,-0.30566406
412,1.5439453,0.30664062,-0.3642578
413,1.4970703,0.48828125,-0.34960938
414,1.4472656000000002,0.43164062,-0.3154297
415,1.1982422,0.36914062,-0.22167969
416,1.1865233999999998,-0.059570312,-0.16601562
417,1.0546875,-0.060546875,-0.23046875
418,0.9453125,0.032226562,-0.2421875
419,1.0400391,-0.22070312,-0.29101562
420,1.2802733999999998,-0.22070312,-0.40429688
421,1.2597656000000002,-0.13183594,-0.35546875
422,1.1835938,0.0048828125,-0.2890625
423,0.9375,0.328125,-0.34277344
424,0.83496094,0.22265625,-0.2626953
425,0.47167970000000004,0.3310547,-0.17089844
426,0.5527344,-0.18652344,0.21582031
427,0.87402344,-0.00390625,0.27441406
428,1.3613281000000002,0.11621094,0.15722656
429,1.5957031000000002,0.028320312,0.18066406
430,1.7792968999999996,0.115234375,0.13183594
431,1.8154297,0.28222656,0.06347656
432,1.8261718999999996,0.33984375,0.107421875
433,1.671875,0.35351562,0.107421875
434,1.3310547,0.41699220000000004,0.061523438
435,1.0419922,0.3798828,0.044921875
436,0.88671875,0.39648438,0.01171875
437,0.75390625,0.32226562,0.0126953125
438,0.7109375,0.30078125,0.016601562
439,0.7060546999999999,0.36914062,-0.01953125
440,0.70214844,0.37695312,-0.038085938
441,0.8027344,0.3984375,-0.076171875
442,1.0283203,0.38378906,-0.18847656
443,0.8925780999999999,0.22265625,-0.3876953
444,0.9511719000000001,0.19628906,-0.31347656
445,1.3095703,0.24511719,-0.29101562
446,1.4746093999999998,0.19433594,-0.34765625
447,1.53125,0.265625,-0.41796875
448,1.484375,0.23339844,-0.47949220000000004
449,1.3525391000000002,0.19433594,-0.3623047
450,1.2080078,0.25585938,-0.31640625
451,1.1269531000000002,0.02734375,-0.29492188
452,1.1171875,0.18945312,-0.2783203
453,1.0488281000000002,0.33984375,-0.24902344
454,0.984375,0.2783203,-0.22363281
455,0.9375,0.296875,-0.19726562
456,0.9375,0.33203125,-0.18164062
457,1.0058594,0.47167970000000004,-0.25195312
458,1.015625,0.4453125,-0.15039062
459,1.2841797,0.31152344,-0.02734375
460,1.5029297,0.21777344,0.053710938
461,1.6503906000000004,0.14160156,0.038085938
462,1.6552734,0.08300781,0.0048828125
463,1.5566406000000002,0.22460938,0.021484375
464,1.4697266000000002,0.3251953,-0.013671875
465,1.3203125,0.38476562,0.07421875
466,1.1240233999999998,0.359375,0.08496094
467,0.9169921999999998,0.3408203,0.05859375
468,0.84472656,0.47460938,0.0087890625
469,0.671875,0.41699220000000004,0.0107421875
470,0.5576171999999999,0.45214844,-0.0068359375
471,0.5449219,0.44433594,-0.10449219
472,0.5527344,0.40820312,-0.15625
473,0.51171875,0.44238279999999996,-0.31152344
474,0.5,0.41894529999999996,-0.37890625
475,0.8574219000000001,0.30664062,-0.37597656
476,1.3291016000000002,0.54589844,-0.47265625
477,1.359375,0.5546875,-0.42773438
478,1.3564453,0.47070312,-0.47558594
479,1.3632812,0.115234375,-0.42382812
480,1.3271483999999998,0.021484375,-0.39257812
481,1.296875,0.21777344,-0.30566406
482,1.1767578,0.14160156,-0.26367188
483,1.0458984,-0.22167969,-0.22753906
484,1.2626953,0.0078125,-0.171875
485,1.3662108999999998,0.26464844,-0.42089844
486,1.2275391000000002,0.05078125,-0.41796875
487,1.3017578,0.203125,-0.2890625
488,1.0869141000000002,-0.34375,0.047851562
489,0.5097656,0.024414062,-0.0546875
490,0.3486328,0.20605469,0.017578125
491,0.6855469,0.35839844,-0.032226562
492,0.98339844,0.20605469,-0.072265625
493,1.5029297,0.1953125,-0.013671875
494,1.7275391,0.29492188,0.11230469
495,1.7626953,0.2685547,0.11328125
496,1.8193359,0.2890625,0.14257812
497,1.7167968999999996,0.19335938,0.14746094
498,1.5878906000000002,0.21972656,0.109375
499,1.3271483999999998,0.3154297,0.12109375
500,1.1337891000000002,0.33789062,0.14257812
501,1.0302734,0.32226562,0.10449219
502,0.9042969000000001,0.27441406,0.056640625
503,0.7441406,0.27441406,0.044921875
504,0.6816406,0.37890625,-0.06640625
505,0.7441406,0.42382812,-0.18261719
506,0.8378905999999999,0.4609375,-0.22167969
507,0.6220703000000001,0.3720703,-0.34277344
508,0.7392578000000001,0.3984375,-0.41210938
509,0.7392578000000001,0.39160156,-0.3671875
510,1.1025391000000002,0.3408203,-0.32617188
511,1.3242188,0.22167969,-0.26757812
512,1.546875,0.20019531,-0.29589844
513,1.7080078,0.31445312,-0.40429688
514,1.4648438,0.41015625,-0.38183594
515,1.3037108999999998,0.32128906,-0.27441406
516,1.1699218999999998,0.13671875,-0.26953125
517,1.2207031000000002,0.12890625,-0.2783203
518,1.0595703,0.11035156,-0.2607422
519,1.0976562,0.24511719,-0.18261719
520,0.99121094,0.48828125,-0.28808594
521,0.7451171999999999,0.57910156,-0.34277344
522,0.7265625,0.546875,-0.18261719
523,1.0830078,0.2763672,-0.061523438
524,1.3554688,0.09667969,-0.033203125
525,1.6787109,0.099609375,0.0029296875
